date,retweets,favorites,vader,finBERT,finBERT_min,finBERT_max,buzz,buzz_n,sent_wn,sent12,sent26,sent50,sent200,adjclose,volume,EMA12,EMA26,EMA50,EMA200
2019-10-10,1622,3141,-0.07716923076923078,-0.18497571615384617,-0.93563,0.84173,4763,-0.284420947480336,0.9711947921360523,-0.12185061282363613,-0.10877210741638721,-0.09964908260613276,-0.07910133694237924,290.0994567871094,55296300,289.9134894340886,290.69453301970105,290.22626558763585,282.68708431278486
2019-10-11,1357,2564,0.017087500000000002,-0.006905872222222214,-0.8789959999999999,0.9027719999999999,3921,-0.3590734113013663,0.9598771254595722,-0.10416680657726475,-0.10122646036496759,-0.09601209396362645,-0.07838297410934286,293.1069030761719,98720400,290.40478384056297,290.87322709795814,290.33923176365687,282.7907641014753
2019-10-14,2042,5420,0.0002264705882352953,-0.02313577573529413,-0.947147,0.805929,7462,-0.045125223189408786,0.9595529990094351,-0.07762932942267771,-0.08825541802798126,-0.08955671087413535,-0.07723211663577846,292.78045654296875,40394800,290.7702719486254,291.0145033531441,290.43496606872793,282.8901640262663
2019-10-15,2945,7394,0.003498876404494374,-0.12218707374157298,-0.9350709999999999,0.905322,10339,0.2099521383463443,0.953525765353014,-0.08448436701020005,-0.09076887400676584,-0.09083633294736819,-0.07767942964180627,295.6790771484375,46754500,291.5254727485965,291.3600273379807,290.6406174836185,283.01741689315355
2019-10-16,1699,3518,0.030601075268817203,-0.10959815569892475,-0.9463219999999999,0.912301,5217,-0.2441689064176902,0.9653587637534263,-0.08834802680846539,-0.09216363561359242,-0.09157209070233119,-0.07799702890605621,295.2041931152344,48928200,292.0914297280792,291.644780358518,290.81958123387795,283.1386783480997
2019-10-17,2440,4430,0.15036666666666668,-0.02334847568686869,-0.944774,0.895861,6870,-0.09761246616096451,0.9598318349732127,-0.07834809586668129,-0.08706621635976103,-0.08889665481937188,-0.07745326220735782,296.07476806640625,45736600,292.70425101089876,291.97292759613936,291.02566699201634,283.26739565872964
2019-10-18,1345,2505,0.10920677966101695,-0.13416945610169492,-0.9306780000000001,0.879863,3850,-0.36536833402261704,0.9703843794610076,-0.08693599744129876,-0.0905553452295339,-0.0906720587912277,-0.07801760244511242,294.77880859375,64304000,293.02341371595276,292.18077063299944,291.1728490156138,283.38193708096867
2019-10-21,2935,4644,-0.02812682926829268,-0.11491951719512196,-0.9344319999999999,0.9094620000000001,7579,-0.0347518998318547,0.9602189173230694,-0.07646056365838835,-0.08389803758869031,-0.0869138320498861,-0.07739019691207281,296.77716064453125,39048600,293.60091324342636,292.521243967187,291.392625942238,283.51522288757127
2019-10-22,2477,4490,-0.015512222222222219,-0.10135491811111112,-0.9522440000000001,0.875179,6967,-0.08901236047136839,0.9613540802490538,-0.08029046434342263,-0.08519113984961038,-0.08748014915032631,-0.07762865184937667,295.80767822265625,48594700,293.9404155479233,292.76468354166616,291.56576524735243,283.63753587598006
2019-10-23,1910,3671,0.07906951219512195,-0.01650441524390243,-0.922998,0.9057879999999999,5581,-0.21189634486085526,0.9601068392637261,-0.07047722602041952,-0.08010323432326165,-0.08469678703634892,-0.07702045049011823,296.6683349609375,34352200,294.3600954576178,293.0538429060566,291.7658660204342,283.7671955683677
