,adjclose,EMA12
2019-06-13,283.7815246582031,279.9377178547302
2019-06-14,283.4679870605469,280.4808361940866
2019-06-17,283.5757751464844,280.9569806483016
2019-06-18,286.5450744628906,281.81668738900765
2019-06-19,287.1918640136719,282.64363763895597
2019-06-20,289.935791015625,283.76550738921276
2019-06-21,289.5143737792969,284.6499483723026
2019-06-24,289.15985107421875,285.34377955721277
2019-06-25,286.32379150390625,285.49455062593483
2019-06-26,286.0382080078125,285.5781902231468
2019-06-27,287.0525207519531,285.8050103045016
2019-06-28,288.52960205078125,286.2241782654677
2019-07-01,291.1490478515625,286.9818505094823
2019-07-02,291.9072570800781,287.739605366497
2019-07-03,294.2410888671875,288.73983359737247
2019-07-05,293.9062805175781,289.5346715850964
2019-07-08,292.2913513183594,289.9587761594446
2019-07-09,292.65570068359375,290.37368762469833
2019-07-10,294.05401611328125,290.9398920075572
2019-07-11,294.7433166503906,291.5250342603008
2019-07-12,296.0628967285156,292.2231669477185
2019-07-15,296.161376953125,292.8290454100887
2019-07-16,295.2061767578125,293.19475792512316
2019-07-17,293.1972961425781,293.1951484201162
2019-07-18,294.2706604003906,293.36061180169685
2019-07-19,292.6360168457031,293.2491356546209
2019-07-22,293.3548583984375,293.26540069213115
2019-07-23,295.4523620605469,293.601856287272
2019-07-24,296.8408508300781,294.10016314001143
2019-07-25,295.42279052734375,294.3036442765241
2019-07-26,297.4021301269531,294.78033440735936
2019-07-29,296.8605041503906,295.10036052167186
2019-07-30,296.1318054199219,295.2590443521719
2019-07-31,292.89202880859375,294.8948881146983
2019-08-01,290.341552734375,294.19437497926396
2019-08-02,288.1553955078125,293.2653012144253
2019-08-05,279.48968505859375,291.14597565198966
2019-08-06,283.408935546875,289.95566178966436
2019-08-07,283.5763854980469,288.97423466787706
2019-08-08,289.14013671875,288.99975806031904
2019-08-09,287.170654296875,288.71835748132764
2019-08-12,283.67486572265625,287.94243567230126
2019-08-13,288.08648681640625,287.96459738677896
2019-08-14,279.5684509277344,286.67288254692596
2019-08-15,280.3070068359375,285.69351705292775
2019-08-16,284.44293212890625,285.50111937230906
2019-08-19,287.8698425292969,285.86553831953796
2019-08-20,285.66400146484375,285.834532649585
2019-08-21,287.988037109375,286.16584102801426
2019-08-22,287.89935302734375,286.43253518175726
2019-08-23,280.5039978027344,285.52045250806145
2019-08-26,283.60589599609375,285.2259053523741
2019-08-27,282.4931335449219,284.8054789204584
2019-08-28,284.48236083984375,284.7557684465177
2019-08-29,288.1159973144531,285.2727267338924
2019-08-30,287.988037109375,285.690466791659
2019-09-03,286.3040771484375,285.78486838500953
2019-09-04,289.55377197265625,286.36469970618595
2019-09-05,293.2760925292969,287.4279909097415
2019-09-06,293.5025329589844,288.36253584039423
2019-09-09,293.6502990722656,289.17603787606674
2019-09-10,293.58135986328125,289.8537797202536
2019-09-11,295.66900634765625,290.74842997062325
2019-09-12,296.693115234375,291.6629969342774
2019-09-13,296.4961853027344,292.40656437557845
2019-09-16,295.58038330078125,292.8948442102251
2019-09-17,296.3287658691406,293.42313985005825
2019-09-18,296.50604248046875,293.8974325624291
2019-09-19,296.486328125,294.29572418744
2019-09-20,295.0854797363281,294.4172250411151
2019-09-23,295.0162353515625,294.50938047349166
2019-09-24,292.7012939453125,294.23121331531024
2019-09-25,294.43255615234375,294.2621891363923
2019-09-26,293.8191833496094,294.19403439996415
2019-09-27,292.236328125,293.8928488192004
2019-09-30,293.5916442871094,293.84650966041715
2019-10-01,290.0994567871094,293.27003998760057
2019-10-02,284.9749450683594,291.99387153848653
2019-10-03,287.3096923828125,291.27322859145977
2019-10-04,291.1976013183594,291.2615936263674
2019-10-07,289.941162109375,291.0584503160609
2019-10-08,285.4399108886719,290.1940596349241
2019-10-09,288.15057373046875,289.8796771880848
2019-10-10,290.0994567871094,289.9134894340886
2019-10-11,293.1069030761719,290.40478384056297
2019-10-14,292.78045654296875,290.7702719486254
2019-10-15,295.6790771484375,291.5254727485965
2019-10-16,295.2041931152344,292.0914297280792
2019-10-17,296.07476806640625,292.70425101089876
2019-10-18,294.77880859375,293.02341371595276
2019-10-21,296.77716064453125,293.60091324342636
2019-10-22,295.80767822265625,293.9404155479233
2019-10-23,296.6683349609375,294.3600954576178
2019-10-24,297.1531066894531,294.78978949328473
2019-10-25,298.36993408203125,295.3405809684765
2019-10-28,300.05169677734375,296.0653680159945
2019-10-29,299.96270751953125,296.6649587088463
2019-10-30,300.8827209472656,297.3138452070647
2019-10-31,300.0814208984375,297.7396260826605
2019-11-01,302.861328125,298.52758024302045
2019-11-04,304.0781555175781,299.3815149006447
2019-11-05,303.7417907714844,300.05232657308153
2019-11-06,303.81103515625,300.63058943203055
2019-11-07,304.87945556640625,301.28426114501144
2019-11-08,305.6313171386719,301.95303899018995
2019-11-11,305.0476379394531,302.42913113623047
2019-11-12,305.690673828125,302.93090693498345
2019-11-13,305.78961181640625,303.3707076859716
2019-11-14,306.2347717285156,303.81133292328605
2019-11-15,308.4508056640625,304.52509796032854
2019-11-18,308.6783142089844,305.1640543062756
2019-11-19,308.58929443359375,305.691014325863
2019-11-20,307.44171142578125,305.9603523412351
2019-11-21,306.9470520019531,306.11215228903785
2019-11-22,307.6296691894531,306.3456164275633
2019-11-25,310.01385498046875,306.90996082031796
2019-11-26,310.71624755859375,307.4955433954373
2019-11-27,312.1012878417969,308.20411946410803
2019-11-29,310.9438171386719,308.6256114140409
