,Benchmark (SPY),Sentimental SPY
2020-01-02 00:00:00+00:00,1.16157753,1.124527557
2020-01-03 00:00:00+00:00,1.152781794,1.115992368
2020-01-06 00:00:00+00:00,1.157179717,1.120256458
2020-01-07 00:00:00+00:00,1.153925985,1.118051528
2020-01-08 00:00:00+00:00,1.160075875,1.122219088
2020-01-09 00:00:00+00:00,1.167941942,1.127547265
2020-01-10 00:00:00+00:00,1.16458095,1.125269645
2020-01-13 00:00:00+00:00,1.172590177,1.130694383
2020-01-14 00:00:00+00:00,1.17080242,1.130003383
2020-01-15 00:00:00+00:00,1.173448266,1.131026063
2020-01-16 00:00:00+00:00,1.183209461,1.134798923
2020-01-17 00:00:00+00:00,1.186892237,1.136222383
2020-01-21 00:00:00+00:00,1.184568065,1.135314211
2020-01-22 00:00:00+00:00,1.184711116,1.135437411
2020-01-23 00:00:00+00:00,1.186069829,1.136610891
2020-01-24 00:00:00+00:00,1.175522017,1.127521811
2020-01-27 00:00:00+00:00,1.156679092,1.111291546
2020-01-28 00:00:00+00:00,1.16880014,1.122915856
2020-01-29 00:00:00+00:00,1.167834681,1.121986597
2020-01-30 00:00:00+00:00,1.171624718,1.125621337
2020-01-31 00:00:00+00:00,1.15035047,1.105222216
2020-02-03 00:00:00+00:00,1.158895894,1.113408977
2020-02-04 00:00:00+00:00,1.176558947,1.125289677
2020-02-05 00:00:00+00:00,1.19014586,1.134428677
2020-02-06 00:00:00+00:00,1.194150528,1.137124682
2020-02-07 00:00:00+00:00,1.187786116,1.132843782
2020-02-10 00:00:00+00:00,1.196653323,1.138800577
2020-02-11 00:00:00+00:00,1.198727183,1.139593642
2020-02-12 00:00:00+00:00,1.206450308,1.142542042
2020-02-13 00:00:00+00:00,1.205163066,1.142049277
2020-02-14 00:00:00+00:00,1.207093875,1.142787742
2020-02-18 00:00:00+00:00,1.203983194,1.141595062
2020-02-19 00:00:00+00:00,1.209739721,1.142140513
2020-02-20 00:00:00+00:00,1.204769812,1.141669642
2020-02-21 00:00:00+00:00,1.192362771,1.140493312
2020-02-24 00:00:00+00:00,1.152817584,1.136743972
2020-02-25 00:00:00+00:00,1.117884733,1.133431603
2020-02-26 00:00:00+00:00,1.113772912,1.133042092
2020-02-27 00:00:00+00:00,1.063751493,1.128299482
2020-02-28 00:00:00+00:00,1.059282099,1.127875732
2020-03-02 00:00:00+00:00,1.105155908,1.132224763
2020-03-03 00:00:00+00:00,1.073512579,1.129224613
2020-03-04 00:00:00+00:00,1.11863556,1.133502793
2020-03-05 00:00:00+00:00,1.081450227,1.129977193
2020-03-06 00:00:00+00:00,1.063572652,1.128282193
2020-03-09 00:00:00+00:00,0.980513509,1.120407562
2020-03-10 00:00:00+00:00,1.031250075,1.125217972
2020-03-11 00:00:00+00:00,0.980978234,1.120451293
2020-03-12 00:00:00+00:00,0.887121021,1.111552882
2020-03-13 00:00:00+00:00,0.962957717,1.118743072
2020-03-16 00:00:00+00:00,0.857587287,1.108752742
2020-03-17 00:00:00+00:00,0.903890195,1.113142792
2020-03-18 00:00:00+00:00,0.858123592,1.108803592
2020-03-19 00:00:00+00:00,0.859947085,1.108976143
2020-03-20 00:00:00+00:00,0.818077836,1.105006792
2020-03-23 00:00:00+00:00,0.797161051,1.103023303
2020-03-24 00:00:00+00:00,0.869386443,1.109871103
2020-03-25 00:00:00+00:00,0.882401315,1.111105063
2020-03-26 00:00:00+00:00,0.933924553,1.115990392
2020-03-27 00:00:00+00:00,0.906106997,1.113352633
2020-03-30 00:00:00+00:00,0.935533469,1.116133318
2020-03-31 00:00:00+00:00,0.921588983,1.107571114
2020-04-01 00:00:00+00:00,0.880112987,1.082095318
2020-04-02 00:00:00+00:00,0.900421941,1.094570794
